2017-08-30_18:40:18('Task started, migrate_statement=', "SELECT page_title, platform FROM [Karma].[dbo].[KnownPages] where page_title not like LOWER('%bug%') and platform != 'xWiki'", 'title_like=', 'None')
2017-08-30_18:40:19(('SUCCESS: Page', '"Opening a case with VMware" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '1/662')
2017-08-30_18:40:20(('SUCCESS: Page', '"New severity 1 created via CP" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '2/662')
2017-08-30_18:40:21(('SUCCESS: Page', '"Backup job to a CIFs share fails with "The specified network name is no longer available"" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '3/662')
2017-08-30_18:40:24(('SUCCESS: Page', '"Backup file format" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '4/662')
2017-08-30_18:40:26(('SUCCESS: Page', '"SureBackup workflow and troubleshooting (WIP)" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '5/662')
2017-08-30_18:40:30(('SUCCESS: Page', '"API basics and disk hardware" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '6/662')
2017-08-30_18:40:32(('SUCCESS: Page', '"Troubleshooting VDDK errors" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '7/662')
2017-08-30_18:40:33(('SUCCESS: Page', '"Complete Uninstallation of Veeam Endpoint" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '8/662')
2017-08-30_18:40:34(('SUCCESS: Page', '"3. SQL Databases Backup And Restore" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '9/662')
2017-08-30_18:40:35(('SUCCESS: Page', '"VESP Troubleshooting Guide" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '10/662')
2017-08-30_18:40:36(('SUCCESS: Page', '"VCenter is absent in the Morning Coffee dashboard" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '11/662')
2017-08-30_18:40:37(('SUCCESS: Page', '"Deep dive into the SOBR" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '12/662')
2017-08-30_18:40:38(('SUCCESS: Page', '"Generating verbose installation log" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '13/662')
2017-08-30_18:40:39(('SUCCESS: Page', '"No or Partial Data Present on Veeam Managed Backup Portal" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '14/662')
2017-08-30_18:40:40(('SUCCESS: Page', '"WMI Test utility (Veeam ONE only)" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '15/662')
2017-08-30_18:40:41(('SUCCESS: Page', '"11. Most Common Database Issues" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '16/662')
2017-08-30_18:40:41(('SUCCESS: Page', '"VM\'s files and extensions on Vmware" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '17/662')
2017-08-30_18:40:43(('SUCCESS: Page', '"CBT reset" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '18/662')
2017-08-30_18:40:43(('ERROR: Page', '"Vmware VM to Tape" from platform', 'Confluence', 'has no text'), 'migrated in total:', '18/662')
2017-08-30_18:40:44(('SUCCESS: Page', '"The definition of the report \'\' is invalid" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '19/662')
2017-08-30_18:40:47(('SUCCESS: Page', '"Networking 6. Basic Network Troubleshooting" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '20/662')
2017-08-30_18:40:48(('SUCCESS: Page', '"[dbo].[Hosts]" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '21/662')
2017-08-30_18:40:48(('SUCCESS: Page', '"Licensing Cases" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '22/662')
2017-08-30_18:40:50(('SUCCESS: Page', '"Encrypted configuration backup fail with "Key not valid for use in specified state"" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '23/662')
2017-08-30_18:40:53(('SUCCESS: Page', '"VBM Creation Script" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '24/662')
2017-08-30_18:40:54(('SUCCESS: Page', '"Tier 1 Duties and Responsibilities" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '25/662')
2017-08-30_18:40:55(('SUCCESS: Page', '"Log truncation for Failover Clustered SQL servers" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '26/662')
2017-08-30_18:40:56(('SUCCESS: Page', '"Feature request: add UI option to select HP volumes for periodic rescan" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '27/662')
2017-08-30_18:40:56(('SUCCESS: Page', '"Cannot install Veeam BandR on Windows 8 under local user account" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '28/662')
2017-08-30_18:40:57(('SUCCESS: Page', '"The issue of the week" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '29/662')
2017-08-30_18:40:58(('SUCCESS: Page', '"Veeam ONE Monitor SNMP MIBs for HP Operations Manager 9" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '30/662')
2017-08-30_18:41:00(('SUCCESS: Page', '"Troubleshooting tape cases with "I/O bus reset" and "Device is not connected" issues" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '31/662')
2017-08-30_18:41:01(('SUCCESS: Page', '"How to reimport cloud backups in v9.5" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '32/662')
2017-08-30_18:41:02(('SUCCESS: Page', '"query VMref and path by VMname using Powershell" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '33/662')
2017-08-30_18:41:03(('SUCCESS: Page', '"BR 7 Silent Install" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '34/662')
2017-08-30_18:41:03(('SUCCESS: Page', '"Transact-SQL Quiz" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '35/662')
2017-08-30_18:41:04(('SUCCESS: Page', '"1. SQL Basics" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '36/662')
2017-08-30_18:41:08(('SUCCESS: Page', '"Recreate VBM for a backup chain on SOBR." from platform', 'Confluence', 'is migrated'), 'migrated in total:', '37/662')
2017-08-30_18:41:09(('SUCCESS: Page', '"Registry keys for Veeam Endpoint Backup" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '38/662')
2017-08-30_18:41:10(('SUCCESS: Page', '"Introduction to Veeam Backup for Office 365 (v1)" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '39/662')
2017-08-30_18:41:11(('SUCCESS: Page', '"Remove Hyper-V hosts (if they were discovered suddenty) EventID 1106 VES log" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '40/662')
2017-08-30_18:41:12(('SUCCESS: Page', '"How to make a conference call on SPB PBX" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '41/662')
2017-08-30_18:41:13(('SUCCESS: Page', '"Windows Event Log Provider is still unable to open the Veeam VMware\\Collector event log" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '42/662')
2017-08-30_18:41:13(('SUCCESS: Page', '"Host stuck in MMode (Morning Coffee Dashboard, bonus scripts)" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '43/662')
2017-08-30_18:41:19(('SUCCESS: Page', '"Job with SharePoint server with AAIP enabled may fail with \'System.OutOfMemoryException\'" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '44/662')
2017-08-30_18:41:19(('SUCCESS: Page', '"3. Veeam vs SQL database" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '45/662')
2017-08-30_18:41:21(('SUCCESS: Page', '"MEA" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '46/662')
2017-08-30_18:41:22(('SUCCESS: Page', '"Failed to create web site" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '47/662')
2017-08-30_18:41:23(('SUCCESS: Page', '"Order Processing Rules" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '48/662')
2017-08-30_18:41:25(('SUCCESS: Page', '"VSS processing in Hyper-V" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '49/662')
2017-08-30_18:41:26(('SUCCESS: Page', '"SQL Basics and Veeam Database" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '50/662')
2017-08-30_18:41:26(('SUCCESS: Page', '"4. Инстанции SQL" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '51/662')
2017-08-30_18:41:31(('SUCCESS: Page', '"Linux Servers SSH issue: "no tty present and no askpass program specified"" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '52/662')
2017-08-30_18:41:32(('SUCCESS: Page', '"7.2 Veeam DB config and restore" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '53/662')
2017-08-30_18:41:34(('SUCCESS: Page', '"Renewal Orders" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '54/662')
