2017-08-31_22:18:10('Task started, migrate_statement=', "SELECT page_title, platform FROM [Karma].[dbo].[KnownPages] where page_title not like LOWER('%bug%') and platform != 'xWiki'", 'title_like=', 'None')
2017-08-31_22:18:11(('SUCCESS: Page', '"Opening a case with VMware" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '1/664')
2017-08-31_22:18:12(('SUCCESS: Page', '"New severity 1 created via CP" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '2/664')
2017-08-31_22:18:13(('SUCCESS: Page', '"Backup job to a CIFs share fails with "The specified network name is no longer available"" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '3/664')
2017-08-31_22:18:15(('SUCCESS: Page', '"Backup file format" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '4/664')
2017-08-31_22:18:17(('SUCCESS: Page', '"SureBackup workflow and troubleshooting (WIP)" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '5/664')
2017-08-31_22:18:21(('SUCCESS: Page', '"API basics and disk hardware" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '6/664')
2017-08-31_22:18:21('ERROR: Failed on page:', 'Veeam B&R releases', 'from', 'MediaWIKI', 'with error:')
2017-08-31_22:18:21<class 'requests.exceptions.HTTPError'>
2017-08-31_22:18:22(('SUCCESS: Page', '"Troubleshooting VDDK errors" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '7/664')
2017-08-31_22:18:23(('SUCCESS: Page', '"Complete Uninstallation of Veeam Endpoint" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '8/664')
2017-08-31_22:18:25(('SUCCESS: Page', '"3. SQL Databases Backup And Restore" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '9/664')
2017-08-31_22:18:26(('SUCCESS: Page', '"VESP Troubleshooting Guide" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '10/664')
2017-08-31_22:18:27(('SUCCESS: Page', '"VCenter is absent in the Morning Coffee dashboard" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '11/664')
2017-08-31_22:18:28(('SUCCESS: Page', '"Deep dive into the SOBR" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '12/664')
2017-08-31_22:18:28(('SUCCESS: Page', '"Generating verbose installation log" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '13/664')
2017-08-31_22:18:29(('SUCCESS: Page', '"No or Partial Data Present on Veeam Managed Backup Portal" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '14/664')
2017-08-31_22:18:30(('SUCCESS: Page', '"WMI Test utility (Veeam ONE only)" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '15/664')
2017-08-31_22:18:31(('SUCCESS: Page', '"11. Most Common Database Issues" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '16/664')
2017-08-31_22:18:31(('SUCCESS: Page', '"VM\'s files and extensions on Vmware" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '17/664')
2017-08-31_22:18:33(('SUCCESS: Page', '"CBT reset" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '18/664')
2017-08-31_22:18:33(('ERROR: Page', '"Vmware VM to Tape" from platform', 'Confluence', 'has no text'), 'migrated in total:', '18/664')
2017-08-31_22:18:33(('SUCCESS: Page', '"The definition of the report \'\' is invalid" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '19/664')
2017-08-31_22:18:36(('SUCCESS: Page', '"Networking 6. Basic Network Troubleshooting" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '20/664')
2017-08-31_22:18:37(('SUCCESS: Page', '"[dbo].[Hosts]" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '21/664')
2017-08-31_22:18:37(('SUCCESS: Page', '"Licensing Cases" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '22/664')
2017-08-31_22:18:38(('SUCCESS: Page', '"Encrypted configuration backup fail with "Key not valid for use in specified state"" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '23/664')
2017-08-31_22:18:40(('SUCCESS: Page', '"VBM Creation Script" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '24/664')
2017-08-31_22:18:41(('SUCCESS: Page', '"Tier 1 Duties and Responsibilities" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '25/664')
2017-08-31_22:18:42(('SUCCESS: Page', '"Log truncation for Failover Clustered SQL servers" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '26/664')
2017-08-31_22:18:43(('SUCCESS: Page', '"Feature request: add UI option to select HP volumes for periodic rescan" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '27/664')
2017-08-31_22:18:43('ERROR: Failed on page:', 'Cannot install Veeam B&R on Windows 8 under local user account', 'from', 'MediaWIKI', 'with error:')
2017-08-31_22:18:43<class 'requests.exceptions.HTTPError'>
2017-08-31_22:18:43(('SUCCESS: Page', '"The issue of the week" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '28/664')
2017-08-31_22:18:44(('SUCCESS: Page', '"Veeam ONE Monitor SNMP MIBs for HP Operations Manager 9" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '29/664')
2017-08-31_22:18:47(('SUCCESS: Page', '"Troubleshooting tape cases with “I/O bus reset” and “Device is not connected” issues" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '30/664')
2017-08-31_22:18:47(('SUCCESS: Page', '"How to reimport cloud backups in v9.5" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '31/664')
2017-08-31_22:18:48(('SUCCESS: Page', '"query VMref and path by VMname using Powershell" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '32/664')
2017-08-31_22:18:49(('SUCCESS: Page', '"BR 7 Silent Install" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '33/664')
2017-08-31_22:18:49(('SUCCESS: Page', '"Transact-SQL Quiz" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '34/664')
2017-08-31_22:18:51(('SUCCESS: Page', '"1. SQL Basics" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '35/664')
2017-08-31_22:18:54(('SUCCESS: Page', '"Recreate VBM for a backup chain on SOBR." from platform', 'Confluence', 'is migrated'), 'migrated in total:', '36/664')
2017-08-31_22:18:55(('SUCCESS: Page', '"Registry keys for Veeam Endpoint Backup" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '37/664')
2017-08-31_22:18:57(('SUCCESS: Page', '"Introduction to Veeam Backup for Office 365 (v1)" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '38/664')
2017-08-31_22:18:58(('SUCCESS: Page', '"Remove Hyper-V hosts (if they were discovered suddenty) EventID 1106 VES log" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '39/664')
2017-08-31_22:18:58(('SUCCESS: Page', '"How to make a conference call on SPB PBX" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '40/664')
2017-08-31_22:18:59(('SUCCESS: Page', '"Windows Event Log Provider is still unable to open the Veeam VMware\\Collector event log" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '41/664')
2017-08-31_22:19:00(('SUCCESS: Page', '"Host stuck in MMode (Morning Coffee Dashboard, bonus scripts)" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '42/664')
2017-08-31_22:19:04(('SUCCESS: Page', '"Job with SharePoint server with AAIP enabled may fail with \'System.OutOfMemoryException\'" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '43/664')
2017-08-31_22:19:05(('SUCCESS: Page', '"3. Veeam vs SQL database" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '44/664')
2017-08-31_22:19:06(('SUCCESS: Page', '"MEA" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '45/664')
2017-08-31_22:19:07(('SUCCESS: Page', '"Failed to create web site" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '46/664')
2017-08-31_22:19:08(('SUCCESS: Page', '"Order Processing Rules" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '47/664')
2017-08-31_22:19:11(('SUCCESS: Page', '"VSS processing in Hyper-V" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '48/664')
2017-08-31_22:19:11(('SUCCESS: Page', '"SQL Basics and Veeam Database" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '49/664')
2017-08-31_22:19:12(('SUCCESS: Page', '"4. Инстанции SQL" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '50/664')
2017-08-31_22:19:13(('SUCCESS: Page', '"Linux Servers SSH issue: "no tty present and no askpass program specified"" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '51/664')
2017-08-31_22:19:13('ERROR: Failed on page:', '7.2 Veeam DB config & restore', 'from', 'Confluence', 'with error:')
2017-08-31_22:19:13<class 'requests.exceptions.HTTPError'>
2017-08-31_22:19:14(('SUCCESS: Page', '"Renewal Orders" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '52/664')
2017-08-31_22:19:15(('SUCCESS: Page', '"Search everywhere in the Veeam DB (ID or TEXT)" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '53/664')
2017-08-31_22:19:16(('SUCCESS: Page', '"Homework: Deployment lab" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '54/664')
2017-08-31_22:19:16(('SUCCESS: Page', '"8. Upgrading SQL 2005 to SQL 2008/2012 etc." from platform', 'Confluence', 'is migrated'), 'migrated in total:', '55/664')
2017-08-31_22:19:18(('SUCCESS: Page', '"LEAD" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '56/664')
2017-08-31_22:19:21(('SUCCESS: Page', '"Opening a case with Microsoft" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '57/664')
2017-08-31_22:19:22(('SUCCESS: Page', '"Troubleshooting VEAD with Esentutl" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '58/664')
2017-08-31_22:19:23(('SUCCESS: Page', '"How Veeam ONE calculates values used in Reports" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '59/664')
2017-08-31_22:19:24(('SUCCESS: Page', '"IBM TS 3xxx Tape Library inventory fails: Exception occurred during PrepareTape. No media in drive." from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '60/664')
2017-08-31_22:19:24(('SUCCESS: Page', '"ASIA ANZ general Rules and Exceptions" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '61/664')
2017-08-31_22:19:26(('SUCCESS: Page', '"All VMs added via SCVMM fail: An existing connection was forcibly closed by the remote host" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '62/664')
2017-08-31_22:19:27(('SUCCESS: Page', '"Networking 1. Definition. Equipment. OSI. TCP/IP." from platform', 'Confluence', 'is migrated'), 'migrated in total:', '63/664')
2017-08-31_22:19:28(('SUCCESS: Page', '"SureBackup" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '64/664')
2017-08-31_22:19:29(('SUCCESS: Page', '"Vmware" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '65/664')
2017-08-31_22:19:29(('SUCCESS: Page', '"Troubleshooting Exchange issues by Eseutil" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '66/664')
2017-08-31_22:19:30(('SUCCESS: Page', '"Types of rescan" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '67/664')
2017-08-31_22:19:31(('SUCCESS: Page', '"Investigating error "The storage file was not verified."" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '68/664')
2017-08-31_22:19:32(('SUCCESS: Page', '"How to move Enterprise Manager to a new server" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '69/664')
2017-08-31_22:19:33(('SUCCESS: Page', '"OS typical builds and versions" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '70/664')
2017-08-31_22:19:33(('ERROR: Page', '"Vmware Sure Backup Job" from platform', 'Confluence', 'has no text'), 'migrated in total:', '70/664')
2017-08-31_22:19:33(('SUCCESS: Page', '"Feature request: add UI option to select NetApp volumes for daily rescan" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '71/664')
2017-08-31_22:19:33(('ERROR: Page', '"Vmware Restore File-Level Other OS" from platform', 'Confluence', 'has no text'), 'migrated in total:', '71/664')
2017-08-31_22:19:34(('SUCCESS: Page', '"If Veeam is monitored by MP, SQL server running Veeam database may consume lot of CPU" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '72/664')
2017-08-31_22:19:36(('SUCCESS: Page', '"Recovering failed Instant Recovery session" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '73/664')
2017-08-31_22:19:39(('SUCCESS: Page', '"Resolving "There is an item with the specified name and another type" in case of Cloud Backup job (case 02008597)" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '74/664')
2017-08-31_22:19:39(('SUCCESS: Page', '"Chicken or Egg?" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '75/664')
2017-08-31_22:19:40(('SUCCESS: Page', '"Backup file corrupted" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '76/664')
2017-08-31_22:19:41(('SUCCESS: Page', '"Index, REORGANIZE and REBUILD (eng)" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '77/664')
2017-08-31_22:19:43(('SUCCESS: Page', '"How to obtain VM GIUD and process PID" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '78/664')
2017-08-31_22:19:45(('SUCCESS: Page', '"Cannot insert duplicate key row in object \'dbo.C.BackupProxies\' with unique index \'PK_C.BackupProxies_unique_id\'." from platform', 'Confluence', 'is migrated'), 'migrated in total:', '79/664')
2017-08-31_22:19:46(('SUCCESS: Page', '"Diskspd (performance tester)" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '80/664')
2017-08-31_22:19:48(('SUCCESS: Page', '"[dbo].[Backup.Model.NetAppVServers]" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '81/664')
2017-08-31_22:19:49(('SUCCESS: Page', '"SOBR extent selection" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '82/664')
2017-08-31_22:19:50(('SUCCESS: Page', '"Job cannot be started" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '83/664')
2017-08-31_22:19:51(('SUCCESS: Page', '"Recently added and changed pages" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '84/664')
2017-08-31_22:19:53(('SUCCESS: Page', '"Entire VM restore of VM protected by a third-party tool Checkpoint Secure Gateway Virtual Edition fails" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '85/664')
2017-08-31_22:19:54(('SUCCESS: Page', '"Notepad++ UDL Plug-in to read Veeam Logs more conveniently" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '86/664')
2017-08-31_22:19:56(('SUCCESS: Page', '"VMware vSphere Basics" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '87/664')
2017-08-31_22:19:58(('SUCCESS: Page', '"Local connect optimization between agents on the backup proxy" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '88/664')
2017-08-31_22:19:58(('SUCCESS: Page', '"Fix 33616" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '89/664')
2017-08-31_22:20:01(('SUCCESS: Page', '"IBM Tape Diagnostic Tool" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '90/664')
2017-08-31_22:20:02(('SUCCESS: Page', '"How to truncate SQL Logs manually" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '91/664')
2017-08-31_22:20:04(('SUCCESS: Page', '"UPGRADE ORDERS" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '92/664')
2017-08-31_22:20:05(('SUCCESS: Page', '"VESQL - restore to AlwaysOn (Specify AlwaysON Restore Options isn\'t shown)" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '93/664')
2017-08-31_22:20:06(('SUCCESS: Page', '"Tape GFS logic" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '94/664')
2017-08-31_22:20:07(('SUCCESS: Page', '"How the process of registering Cloud and Service Providers on Veeam forums works" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '95/664')
2017-08-31_22:20:07(('SUCCESS: Page', '"Rental General" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '96/664')
2017-08-31_22:20:08(('SUCCESS: Page', '"Subst tricks for rotated repositories testing" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '97/664')
2017-08-31_22:20:09(('SUCCESS: Page', '"Patches and fixes" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '98/664')
2017-08-31_22:20:10(('SUCCESS: Page', '"HPE orders" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '99/664')
2017-08-31_22:20:13(('SUCCESS: Page', '"Linux FLR appliance deploy failed: Module \'MonitorLoop\' power on failed." from platform', 'Confluence', 'is migrated'), 'migrated in total:', '100/664')
