2017-09-01_15:35:24('Task started, migrate_statement=', "SELECT page_title, platform FROM [Karma].[dbo].[KnownPages] where page_title not like LOWER('bug%') and platform != 'xWiki'", 'title_like=', 'None')
2017-09-01_15:35:25(('SUCCESS: Page', '"Opening a case with VMware" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '1/685')
2017-09-01_15:35:26(('SUCCESS: Page', '"New severity 1 created via CP" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '2/685')
2017-09-01_15:35:27(('SUCCESS: Page', '"Backup job to a CIFs share fails with "The specified network name is no longer available"" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '3/685')
2017-09-01_15:35:30(('SUCCESS: Page', '"Backup file format" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '4/685')
2017-09-01_15:35:32(('SUCCESS: Page', '"SureBackup workflow and troubleshooting (WIP)" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '5/685')
2017-09-01_15:35:35(('SUCCESS: Page', '"API basics and disk hardware" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '6/685')
2017-09-01_15:35:36(('SUCCESS: Page', '"Troubleshooting VDDK errors" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '7/685')
2017-09-01_15:35:37(('SUCCESS: Page', '"Complete Uninstallation of Veeam Endpoint" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '8/685')
2017-09-01_15:35:39(('SUCCESS: Page', '"3. SQL Databases Backup And Restore" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '9/685')
2017-09-01_15:35:40(('SUCCESS: Page', '"VESP Troubleshooting Guide" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '10/685')
2017-09-01_15:35:41(('SUCCESS: Page', '"VCenter is absent in the Morning Coffee dashboard" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '11/685')
2017-09-01_15:35:42(('SUCCESS: Page', '"Deep dive into the SOBR" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '12/685')
2017-09-01_15:35:43(('SUCCESS: Page', '"Generating verbose installation log" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '13/685')
2017-09-01_15:35:44(('SUCCESS: Page', '"No or Partial Data Present on Veeam Managed Backup Portal" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '14/685')
2017-09-01_15:35:45(('SUCCESS: Page', '"WMI Test utility (Veeam ONE only)" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '15/685')
2017-09-01_15:35:46(('SUCCESS: Page', '"11. Most Common Database Issues" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '16/685')
2017-09-01_15:35:46(('SUCCESS: Page', '"VM\'s files and extensions on Vmware" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '17/685')
2017-09-01_15:35:48(('SUCCESS: Page', '"CBT reset" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '18/685')
2017-09-01_15:35:48(('ERROR: Page', '"Vmware VM to Tape" from platform', 'Confluence', 'has no text'), 'migrated in total:', '18/685')
2017-09-01_15:35:49(('SUCCESS: Page', '"The definition of the report \'\' is invalid" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '19/685')
2017-09-01_15:35:52(('SUCCESS: Page', '"Networking 6. Basic Network Troubleshooting" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '20/685')
2017-09-01_15:35:52(('SUCCESS: Page', '"[dbo].[Hosts]" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '21/685')
2017-09-01_15:35:53(('SUCCESS: Page', '"Licensing Cases" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '22/685')
2017-09-01_15:35:54(('SUCCESS: Page', '"Encrypted configuration backup fail with "Key not valid for use in specified state"" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '23/685')
2017-09-01_15:35:56(('SUCCESS: Page', '"VBM Creation Script" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '24/685')
2017-09-01_15:35:57(('SUCCESS: Page', '"Tier 1 Duties and Responsibilities" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '25/685')
