2017-09-01_16:35:23('Task started, migrate_statement=', "SELECT page_title, platform FROM [Karma].[dbo].[KnownPages] where page_title like LOWER('bug%') and platform != 'xWiki'", 'title_like=', 'None')
2017-09-01_16:35:23(('SUCCESS: Page', '"Bug 107181 - Some Veeam logs appear in c:\\windows\\system32\\ on 9.5 Update 2" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '1/1380')
2017-09-01_16:35:26(('SUCCESS: Page', '"Bug 41390 - Job completes with warning because cannot detect SnapVault relationship - "No Qtree Data SnapVault" type" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '2/1380')
2017-09-01_16:35:27(('SUCCESS: Page', '"Bug 38997 - VMs go into saved state during backup or replication with VSS" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '3/1380')
2017-09-01_16:35:27(('SUCCESS: Page', '"Bug 41549 - VEAD fails with "JetError -1216, JET errAttachedDatabaseMismatch" on Windows 2008 server" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '4/1380')
2017-09-01_16:35:36(('SUCCESS: Page', '"Bug 41767 - BackupCopy job outputs: Failed to compact full backup file" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '5/1380')
2017-09-01_16:35:37(('SUCCESS: Page', '"Bug 42230 - VESQL restore fails if a VM disk is on a scsi controller with pciSlotNumber is more than 1024" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '6/1380')
2017-09-01_16:35:38(('SUCCESS: Page', '"Bug 100183 - Error: No partition found for System Recovery partiotions during VEOR/SEVSQL" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '7/1380')
2017-09-01_16:35:38(('SUCCESS: Page', '"Bug 67345 - Wrong backup file deleted by retention if time on Veeam server was shifted backwards" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '8/1380')
2017-09-01_16:35:39(('SUCCESS: Page', '"Bug 80141 - Get-VBRJobObject cmdlet doesn\'t work properly for backup copy jobs with linked backup jobs" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '9/1380')
2017-09-01_16:35:40(('SUCCESS: Page', '"Bug 82625 - Veeam Mount certificate is not used by us any more, but can break LDAP over SSL" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '10/1380')
2017-09-01_16:35:40(('SUCCESS: Page', '"Bug 95089 - Failed to parse XML content in oracle log backup" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '11/1380')
2017-09-01_16:35:43(('SUCCESS: Page', '"Bug 69176 - VESP some database files are missing on the SQL Server VM volumes, id the database is located on mounted drives" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '12/1380')
2017-09-01_16:35:44(('SUCCESS: Page', '"Bug 51419 - Cloud backup copy job fails to save OIB summary if it contains large auxdata" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '13/1380')
2017-09-01_16:35:45(('SUCCESS: Page', '"Bug 92506 - Add-VBRBackupToTapeJob cmdlet doesn\'t work properly with WaitPeriod parameter specified" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '14/1380')
2017-09-01_16:35:46(('SUCCESS: Page', '"Bug 90856 - HTML escape characters at vlab - static mapping - notes" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '15/1380')
2017-09-01_16:35:47(('SUCCESS: Page', '"Bug 101292 - Loaded tape has unexpected media ID after manual tape exchange and inventorying them before library rescan" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '16/1380')
2017-09-01_16:35:48(('SUCCESS: Page', '"Bug 109161 - Backup copy job in the "Idle" state is reported as "Active" on the Cloud Connect side" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '17/1380')
2017-09-01_16:35:49(('SUCCESS: Page', '"Bug 74521 - In some cases Agent tries to use wrong IP address if vCenter has multiple IPs" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '18/1380')
2017-09-01_16:35:51(('SUCCESS: Page', '"Bug 48214 - Tape job ignores setting "Wait for backup job" if many jobs are added as source and any of them have already been finished" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '19/1380')
2017-09-01_16:35:52(('SUCCESS: Page', '"Bug 44864 - Merge is taking abnormally longer due to metadata update operations" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '20/1380')
2017-09-01_16:35:53(('SUCCESS: Page', '"Bugs fixed by 9.5.0.9716" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '21/1380')
2017-09-01_16:35:54(('SUCCESS: Page', '"Bug 104045 - Rest Api login is slow , license validation stored procedures take a lot of time to complete" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '22/1380')
2017-09-01_16:35:54(('SUCCESS: Page', '"Bug 73669 - SSH output in the restore log might contain special characters" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '23/1380')
2017-09-01_16:35:56(('SUCCESS: Page', '"Bug 43911 - If the tape job scheduled to "Run after" the source backup job, it postpones the source backup job processing and copies no data" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '24/1380')
2017-09-01_16:35:58(('SUCCESS: Page', '"Bug 94542 - SCVMM VMs cannot be found with Tags" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '25/1380')
2017-09-01_16:35:59(('SUCCESS: Page', '"Bug 68272 - Database restore fails with "Failed to start database instance. ORA-16025: parameter $NAME contains repeated or conflicting attributes"" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '26/1380')
2017-09-01_16:36:01(('SUCCESS: Page', '"Bug 85938 - "Index was outside the bounds of the array" during host rescan" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '27/1380')
2017-09-01_16:36:02(('SUCCESS: Page', '"Bug 42548 - Cloud Connect Repo Jobs / Rescan fail with: \'Cloud gate has rejected connection. Reason: Unable to establish target connection. All aliases has failed.\'" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '28/1380')
2017-09-01_16:36:05(('SUCCESS: Page', '"Bug 44421 - Synthesized full on tapes fail with error "Metadata banks limit was reached"" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '29/1380')
2017-09-01_16:36:07(('SUCCESS: Page', '"Bug 106590 - Search might be interrupted if there are obsolete hosts" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '30/1380')
2017-09-01_16:36:07(('SUCCESS: Page', '"Bug 49983 - RESTful API PUT HTTP request to update quota of the cloud user account erase user account description." from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '31/1380')
2017-09-01_16:36:08(('SUCCESS: Page', '"Bug 108926 - The session is released too soon and the last task in the job fails" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '32/1380')
2017-09-01_16:36:09(('SUCCESS: Page', '"Bug 103275 - Monthly, Quarterly and Yearly GFS backups may be postponed and never created" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '33/1380')
2017-09-01_16:36:10(('SUCCESS: Page', '"Bug 93519 - "Clone operation failed to start: Device busy.." during creation of flex clone on Data Ontap 8.3.2" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '34/1380')
2017-09-01_16:36:10(('SUCCESS: Page', '"Bug 41471 - SNMP trap OnBackupJobCompleted after Backup Copy job completion has result \'None\' instead of correct one" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '35/1380')
2017-09-01_16:36:11(('SUCCESS: Page', '"Bug 90128 - Unable to open the physical file "C:\\Program Files\\Microsoft SQL Server\\....\\t1dat3.mdf". Operating system error 2: "2(The system cannot find the file specified.) during VESP" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '36/1380')
2017-09-01_16:36:12(('SUCCESS: Page', '"Bug 72966 - Job stuck on building VM list" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '37/1380')
2017-09-01_16:36:13(('SUCCESS: Page', '"Bug 39699 - Get-VBRTapeJob Returns System.ArgumentNullException if incrementalBackupMediaPool is null" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '38/1380')
2017-09-01_16:36:14(('SUCCESS: Page', '"Bug 83043 - Updating permissions during VEOR restore may take a long time" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '39/1380')
2017-09-01_16:36:15(('SUCCESS: Page', '"Bug 40648 - If you try to expand public folder you get "Unable to find wastebasket"" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '40/1380')
2017-09-01_16:36:16(('SUCCESS: Page', '"Bug 93549 - VEOR restore from StoreOnce fails with OSCLT ERR OBJECT LOCK FAILED" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '41/1380')
2017-09-01_16:36:17(('SUCCESS: Page', '"Bug 40991 - Enabled inline duplication is causing performance degradation for job running to repository over DD Boost" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '42/1380')
2017-09-01_16:36:18(('SUCCESS: Page', '"Bug 64588 - 3par can\'t close SSH connections" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '43/1380')
2017-09-01_16:36:19(('SUCCESS: Page', '"Bug 78344 - Backups from SMB3 with shared snapshot may fail with "There is no successfully imported snapshot"" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '44/1380')
2017-09-01_16:36:20(('SUCCESS: Page', '"Bug 104952 - Backup fails with partitions.size() % RecsPerTable error" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '45/1380')
2017-09-01_16:36:20(('SUCCESS: Page', '"Bug 69557 - Backup to SOBR fails with "There is not enough space on the disk"" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '46/1380')
2017-09-01_16:36:21(('SUCCESS: Page', '"Bug 10230 - Rescan fails with Object reference not set to an instance of an object if ESXi doesn\'t have SCSI or HBA adapters" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '47/1380')
2017-09-01_16:36:22(('SUCCESS: Page', '"Bug 96265 - Backup from SS doesn\'t work if there is PowerPath plugin installed on ESXi hosts" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '48/1380')
2017-09-01_16:36:23(('SUCCESS: Page', '"Bug 941339 - Encrypted backup copy can be failed with the following error message: "Invalid attempt to perform DB entities encryption while encryption is not enabled"" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '49/1380')
2017-09-01_16:36:24(('SUCCESS: Page', '"Bug 76241 - Network mapping doesn\'t work properly on cloud replica if source networks are under DVSwitch" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '50/1380')
2017-09-01_16:36:25(('SUCCESS: Page', '"Bug 107702 - Random source nea will be selected for VMs with "unknown" IP configuration" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '51/1380')
2017-09-01_16:36:25(('SUCCESS: Page', '"Bug 52403 - OtherOS restores Windows files with "Date Modified" time stamp in GMT instead of local timezone." from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '52/1380')
2017-09-01_16:36:26(('SUCCESS: Page', '"Bug 45691 - Documents version is broken after items restore" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '53/1380')
2017-09-01_16:36:27(('SUCCESS: Page', '"Bug 69473 - Backup copy cannot be created if there are only dedupe repositories" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '54/1380')
2017-09-01_16:36:27(('SUCCESS: Page', '"Bug 104314 - The server cannot service this request right now. Try again later" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '55/1380')
2017-09-01_16:36:28(('SUCCESS: Page', '"Bug 73581 - If one drive is disabled in a tape library, tape mediums will be duplicated" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '56/1380')
2017-09-01_16:36:30(('SUCCESS: Page', '"Bug 48181 - Restore file from NSS volume to original location always places file into /media directory on the production VM" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '57/1380')
2017-09-01_16:36:31(('SUCCESS: Page', '"Bug 40797 - TapeBlockSize registry key is not working" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '58/1380')
2017-09-01_16:36:32(('SUCCESS: Page', '"Bug 81243 - LinAgentFolder registry key brokes Other-OS FLR" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '59/1380')
2017-09-01_16:36:33(('SUCCESS: Page', '"Bug 69738 - EM is unable to collect v4 Veeam backups with "Cannot insert the value NULL into column \'aux data\'"" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '60/1380')
2017-09-01_16:36:34(('SUCCESS: Page', '"Bug 66719 - Mapping for HV replica doesn\'t work" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '61/1380')
2017-09-01_16:36:35(('SUCCESS: Page', '"Bug 23391 - DC stays in DSRM in SureBackup with DC role activated" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '62/1380')
2017-09-01_16:36:35(('SUCCESS: Page', '"Bug 54101 - Excessive tape media capacity pollings results in slow performance" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '63/1380')
2017-09-01_16:36:36(('SUCCESS: Page', '"Bug 52958 - Implement logic to select proper NFS LIF in order to avoid inter-cluster traffic" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '64/1380')
2017-09-01_16:36:37(('SUCCESS: Page', '"Bug 11773 - SureBackup randomly fails on PowerOn VM with \'File .vmdk was not found\'" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '65/1380')
2017-09-01_16:36:37(('SUCCESS: Page', '"Bug 105057 - Synthetic to tape cannot be created with error Agent: Failed to process method (Transform.CompileFIB): Only sequential synthetic write operation is supported." from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '66/1380')
2017-09-01_16:36:39(('SUCCESS: Page', '"Bug 59525 - Job shows warning: Failed to truncate transaction logs for SQL instances: MICROSOFT WID" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '67/1380')
2017-09-01_16:36:40(('SUCCESS: Page', '"Bug 80537 - folders are detected as files in GUI on adding items to FC or FtT job; Can\'t get info for file" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '68/1380')
2017-09-01_16:36:41(('SUCCESS: Page', '"Bug 40858 - In Virtual Machines step in Hyper-V job properties VM with pass-through disks has 0 KB size in GUI" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '69/1380')
2017-09-01_16:36:42(('SUCCESS: Page', '"Bug 54182 - EM couldn\'t parse file indexes for large volumes" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '70/1380')
2017-09-01_16:36:57(('SUCCESS: Page', '"Bug 48906 - FLR appliance does not mount filesystems that reside on the entire block device" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '71/1380')
